point_label,x,y,ssid,bssid,signal_dbm,timestamp
P01,0,0,CorpNet,aa:11:22:33:44:02,-78,2026-04-03T10:05:00Z
P01,0,0,GuestNet,aa:11:22:33:55:01,-72,2026-04-03T10:05:00Z
P02,2,0,CorpNet,aa:11:22:33:44:02,-72,2026-04-03T10:10:00Z
P02,2,0,GuestNet,aa:11:22:33:55:01,-68,2026-04-03T10:10:00Z
P03,4,0,CorpNet,aa:11:22:33:44:02,-67,2026-04-03T10:15:00Z
P03,4,0,GuestNet,aa:11:22:33:55:01,-63,2026-04-03T10:15:00Z
P04,6,0,CorpNet,aa:11:22:33:44:01,-60,2026-04-03T10:20:00Z
P04,6,0,GuestNet,aa:11:22:33:55:02,-66,2026-04-03T10:20:00Z
P05,8,0,CorpNet,aa:11:22:33:44:01,-55,2026-04-03T10:25:00Z
P05,8,0,GuestNet,aa:11:22:33:55:02,-70,2026-04-03T10:25:00Z
P06,10,0,CorpNet,aa:11:22:33:44:01,-58,2026-04-03T10:30:00Z
P06,10,0,GuestNet,aa:11:22:33:55:02,-72,2026-04-03T10:30:00Z
P07,0,2,CorpNet,aa:11:22:33:44:02,-74,2026-04-03T10:35:00Z
P07,0,2,GuestNet,aa:11:22:33:55:01,-70,2026-04-03T10:35:00Z
P08,2,2,CorpNet,aa:11:22:33:44:02,-68,2026-04-03T10:40:00Z
P08,2,2,GuestNet,aa:11:22:33:55:01,-65,2026-04-03T10:40:00Z
P09,4,2,CorpNet,aa:11:22:33:44:02,-62,2026-04-03T10:45:00Z
P09,4,2,GuestNet,aa:11:22:33:55:01,-60,2026-04-03T10:45:00Z
P10,6,2,CorpNet,aa:11:22:33:44:01,-54,2026-04-03T10:50:00Z
P10,6,2,GuestNet,aa:11:22:33:55:02,-63,2026-04-03T10:50:00Z
P11,8,2,CorpNet,aa:11:22:33:44:01,-49,2026-04-03T10:55:00Z
P11,8,2,GuestNet,aa:11:22:33:55:02,-68,2026-04-03T10:55:00Z
P12,10,2,CorpNet,aa:11:22:33:44:01,-53,2026-04-03T11:00:00Z
P12,10,2,GuestNet,aa:11:22:33:55:02,-71,2026-04-03T11:00:00Z
P13,0,4,CorpNet,aa:11:22:33:44:02,-76,2026-04-03T11:05:00Z
P13,0,4,GuestNet,aa:11:22:33:55:01,-69,2026-04-03T11:05:00Z
P14,2,4,CorpNet,aa:11:22:33:44:02,-70,2026-04-03T11:10:00Z
P14,2,4,GuestNet,aa:11:22:33:55:01,-63,2026-04-03T11:10:00Z
P15,4,4,CorpNet,aa:11:22:33:44:02,-64,2026-04-03T11:15:00Z
P15,4,4,GuestNet,aa:11:22:33:55:01,-57,2026-04-03T11:15:00Z
P16,6,4,CorpNet,aa:11:22:33:44:01,-58,2026-04-03T11:20:00Z
P16,6,4,GuestNet,aa:11:22:33:55:02,-59,2026-04-03T11:20:00Z
P17,8,4,CorpNet,aa:11:22:33:44:01,-52,2026-04-03T11:25:00Z
P17,8,4,GuestNet,aa:11:22:33:55:02,-64,2026-04-03T11:25:00Z
P18,10,4,CorpNet,aa:11:22:33:44:01,-56,2026-04-03T11:30:00Z
P18,10,4,GuestNet,aa:11:22:33:55:02,-68,2026-04-03T11:30:00Z
P19,0,6,CorpNet,aa:11:22:33:44:02,-82,2026-04-03T11:35:00Z
P19,0,6,GuestNet,aa:11:22:33:55:01,-72,2026-04-03T11:35:00Z
P20,2,6,CorpNet,aa:11:22:33:44:02,-76,2026-04-03T11:40:00Z
P20,2,6,GuestNet,aa:11:22:33:55:01,-67,2026-04-03T11:40:00Z
P21,4,6,CorpNet,aa:11:22:33:44:02,-71,2026-04-03T11:45:00Z
P21,4,6,GuestNet,aa:11:22:33:55:01,-61,2026-04-03T11:45:00Z
P22,6,6,CorpNet,aa:11:22:33:44:01,-64,2026-04-03T11:50:00Z
P22,6,6,GuestNet,aa:11:22:33:55:02,-62,2026-04-03T11:50:00Z
P23,8,6,CorpNet,aa:11:22:33:44:01,-59,2026-04-03T11:55:00Z
P23,8,6,GuestNet,aa:11:22:33:55:02,-66,2026-04-03T11:55:00Z
P24,10,6,CorpNet,aa:11:22:33:44:01,-63,2026-04-03T12:00:00Z
P24,10,6,GuestNet,aa:11:22:33:55:02,-70,2026-04-03T12:00:00Z
P25,0,8,CorpNet,aa:11:22:33:44:02,-88,2026-04-03T12:05:00Z
P25,0,8,GuestNet,aa:11:22:33:55:01,-75,2026-04-03T12:05:00Z
P26,2,8,CorpNet,aa:11:22:33:44:02,-82,2026-04-03T12:10:00Z
P26,2,8,GuestNet,aa:11:22:33:55:01,-71,2026-04-03T12:10:00Z
P27,4,8,CorpNet,aa:11:22:33:44:02,-77,2026-04-03T12:15:00Z
P27,4,8,GuestNet,aa:11:22:33:55:01,-66,2026-04-03T12:15:00Z
P28,6,8,CorpNet,aa:11:22:33:44:01,-71,2026-04-03T12:20:00Z
P28,6,8,GuestNet,aa:11:22:33:55:02,-67,2026-04-03T12:20:00Z
P29,8,8,CorpNet,aa:11:22:33:44:01,-66,2026-04-03T12:25:00Z
P29,8,8,GuestNet,aa:11:22:33:55:02,-71,2026-04-03T12:25:00Z
P30,10,8,CorpNet,aa:11:22:33:44:01,-70,2026-04-03T12:30:00Z
P30,10,8,GuestNet,aa:11:22:33:55:02,-74,2026-04-03T12:30:00Z
