snapshot_name,timestamp,ssid,bssid,signal_dbm,signal_percent,channel,band,security,backend,frequency_mhz
Demo Baseline 2026-04-03 10:00,2026-04-03T10:00:00Z,CorpNet,aa:11:22:33:44:01,-50,100,36,5 GHz,WPA2/WPA3,demo,5180
Demo Baseline 2026-04-03 10:00,2026-04-03T10:00:00Z,CorpNet,aa:11:22:33:44:02,-64,72,6,2.4 GHz,WPA2/WPA3,demo,2437
Demo Baseline 2026-04-03 10:00,2026-04-03T10:00:00Z,GuestNet,aa:11:22:33:55:01,-60,80,1,2.4 GHz,WPA2,demo,2412
Demo Baseline 2026-04-03 10:00,2026-04-03T10:00:00Z,GuestNet,aa:11:22:33:55:02,-71,58,44,5 GHz,WPA2,demo,5220
Demo Baseline 2026-04-03 10:00,2026-04-03T10:00:00Z,Printer_Setup,12:34:56:78:90:ab,-68,64,11,2.4 GHz,Open,demo,2462
Demo Baseline 2026-04-03 10:00,2026-04-03T10:00:00Z,LegacyCam,98:76:54:32:10:fe,-74,52,3,2.4 GHz,WEP,demo,2422
Demo Baseline 2026-04-03 10:00,2026-04-03T10:00:00Z,NeighborMesh,d0:11:22:aa:bb:cc,-66,68,149,5 GHz,WPA2,demo,5745
Demo Baseline 2026-04-03 10:00,2026-04-03T10:00:00Z,IoT_Lab,aa:aa:aa:aa:aa:10,-61,78,157,5 GHz,WPA2/WPA3,demo,5785
Demo Baseline 2026-04-03 10:00,2026-04-03T10:00:00Z,IoT_Lab,aa:aa:aa:aa:aa:11,-65,70,161,5 GHz,WPA2/WPA3,demo,5805
Demo Baseline 2026-04-03 10:00,2026-04-03T10:00:00Z,Warehouse_AP,bb:cc:dd:ee:ff:00,-82,36,11,2.4 GHz,Enterprise,demo,2462
Demo Survey 2026-04-03 15:00,2026-04-03T15:00:00Z,CorpNet,aa:11:22:33:44:01,-49,100,36,5 GHz,WPA2/WPA3,demo,5180
